time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_clearance_m,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_clearance_m,right_q_m,right_actuator_N,left_effective,right_effective
0.001,settle,0.0,0.0,0.02999019,0.0,0.0,0.09999887755412433,0.0,0.0,-0.07000868755412433,-0.009810000000000001,0.009810000000000001,0.0,9.809999999998986e-06,1.0667376312313488,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.002,settle,0.0,0.0,0.029983904220390392,0.0,0.0,0.09999709084797542,0.0,0.0,-0.07001318662758503,-0.006285779609608145,0.006285779609608145,2.761102863014339e-14,1.609577960960673e-05,0.9856112750712698,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.003,settle,-1.0321604682062003e-20,-1.558961293390837e-17,0.029980128581719175,0.0,0.0,0.09999495069296872,-1.0321604682062003e-20,-1.558961293390837e-17,-0.07001482211124954,-0.003775638671217275,0.003775638671217275,5.0654257233172466e-12,1.9871418280976993e-05,0.9263229201483323,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.004,settle,2.3876733923344774e-18,3.1225676558332972e-15,0.029978121979549813,0.0,0.0,0.09999266450466136,2.3876733923344774e-18,3.1225676558332972e-15,-0.07001454252511155,-0.002006602169363122,0.002006602169363122,1.0112140791362314e-09,2.187802048039464e-05,0.8831341748390183,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.005,settle,-4.541669124114023e-16,-6.238834922636661e-13,0.029977344554565938,0.0,0.0,0.09999036753208689,-4.541669124114023e-16,-6.238834922636661e-13,-0.07001302297752095,-0.000777424983875392,0.0007774249838756449,2.0179602010832766e-07,2.2655451462131465e-05,0.8518007940624464,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.006,settle,9.04936829464187e-14,1.245197263338889e-10,0.02997740463950784,0.0,0.0,0.0999881449888235,9.04936829464187e-14,1.245197263338889e-10,-0.07001074034931565,6.008494190518532e-05,6.0085072228306816e-05,4.027292976499694e-05,2.2596563529538732e-05,0.8291849375940579,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.007,settle,1.7381221709307505e-13,2.391704299103438e-10,0.029978019536169673,0.0,0.0,0.09998604769752426,1.7381221709307505e-13,2.391704299103438e-10,-0.07000802816135458,0.0006148966618309052,0.0006148966725195228,2.5664112703163954e-05,2.198243735029859e-05,0.8129679457614643,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.008,settle,2.6695938931675657e-13,3.6735185234139206e-10,0.029978986532153522,0.0,0.0,0.09998410311494434,2.6695938931675657e-13,3.6735185234139206e-10,-0.07000511658279082,0.000966995983849209,0.0009669959923448418,1.5276504342266366e-05,2.1015899994439313e-05,0.8014375892669968,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.009000000000000001,settle,3.7561458028113893e-13,5.16878584229559e-10,0.02998016149800321,0.0,0.0,0.09998232307124523,3.7561458028113893e-13,5.16878584229559e-10,-0.07000216157324202,0.00117496584968667,0.0011749658592010977,7.96928445819491e-06,1.98411733969249e-05,0.7933304806432749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.010000000000000002,settle,4.993466451962136e-13,6.871563559378725e-10,0.02998144309486094,0.0,0.0,0.09998070917579654,4.993466451962136e-13,6.871563559378725e-10,-0.06999926608093561,0.0012815968577276047,0.0012815968690394828,2.9029741647409225e-06,1.855966369166892e-05,0.7877153443414588,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.011000000000000003,settle,6.349268997715707e-13,8.737411631457634e-10,0.029982761133522936,0.0,0.0,0.09997925656883717,6.349268997715707e-13,8.737411631457634e-10,-0.06999649543531423,0.0013180386619958382,0.001318038675202548,5.39596601583894e-07,1.7241608830015354e-05,0.7839065550159074,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.012000000000000004,settle,7.781922608911251e-13,1.0709032101062066e-09,0.029984068004122632,0.0,0.0,0.0999779565033207,7.781922608911251e-13,1.0709032101062066e-09,-0.06999388849919806,0.0013068705996946808,0.001306870614567191,2.811606184526075e-06,1.593465382087808e-05,0.7814001012609872,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.013000000000000005,settle,9.25031502915438e-13,1.2729842592754636e-09,0.029985332375988088,0.0,0.0,0.09997679810191226,9.25031502915438e-13,1.2729842592754636e-09,-0.06999146572592417,0.0012643718654570207,0.001264371881606056,4.2452873400298436e-06,1.4670154504306532e-05,0.7798261653939014,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.014000000000000005,settle,1.0718540018224419e-12,1.4750426380692913e-09,0.029986534574920967,0.0,0.0,0.0999757695345684,1.0718540018224419e-12,1.4750426380692913e-09,-0.06998923495964743,0.0012021989328807887,0.0012021989498611772,5.083708698003795e-06,1.3467802949401059e-05,0.7789140150600086,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.015000000000000006,settle,1.2157631334823446e-12,1.6730918471626402e-09,0.029987663199042097,0.0,0.0,0.09997485879106839,1.2157631334823446e-12,1.6730918471626402e-09,-0.06998719559202629,0.001128624121130898,0.001128624138507591,5.50424246276698e-06,1.2339013581066927e-05,0.7784660171056242,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.016000000000000007,settle,1.3545697716711017e-12,1.8641191265236085e-09,0.029988712648377047,0.0,0.0,0.09997405417215653,1.3545697716711017e-12,1.8641191265236085e-09,-0.06998534152377948,0.0010494493349512018,0.0010494493523371961,5.635893567156635e-06,1.1289395046513995e-05,0.7783384099302013,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
