time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_above_cube_bottom_m,left_normal_vertical_N,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_above_cube_bottom_m,right_normal_vertical_N,right_q_m,right_actuator_N,left_effective,right_effective
0.0005,settle,0.0,0.0,0.0299975475,0.0,0.0,0.09999971938853108,0.0,0.0,-0.07000217188853108,-0.0049050000000000005,0.0049050000000000005,0.0,2.4524999999997465e-06,1.224762294594182,0.0,0.0,0.0,1.0,0.008002171888531077,0.0,0.0,0.0,0.0,0.0,1.0,0.008002171888531077,0.0,0.0,0.0,0,0
0.001,settle,4.336808689942018e-23,-6.505213034913026e-23,0.029996469882170605,0.0,0.0,0.09999921296047269,4.336808689942018e-23,-6.505213034913026e-23,-0.0700027430783021,-0.002155235658786363,0.002155235658786363,1.4463085851915175e-17,3.530117829393664e-06,1.024096008070726,0.0,0.0,0.0,1.0,0.00800274307830208,0.0,0.0,0.0,0.0,0.0,1.0,0.00800274307830208,0.0,0.0,0.0,0,0
0.0015,settle,-3.82506526452886e-20,4.3476507116668724e-20,0.029996140064366433,0.0,0.0,0.0999985272892306,-3.82506526452886e-20,4.3476507116668724e-20,-0.07000238722486417,-0.0006596356083443243,0.0006596356083443243,3.959125062082564e-15,3.85993563356557e-06,0.9100007459594143,0.0,0.0,0.0,1.0,0.008002387224864162,0.0,0.0,0.0,0.0,0.0,1.0,0.008002387224864162,0.0,0.0,0.0,0,0
0.002,settle,1.0102899419828226e-17,-1.1448112423317892e-17,0.029996201498893385,0.0,0.0,0.09999770184840001,1.0102899419828226e-17,-1.1448112423317892e-17,-0.07000150034950663,0.00012286905390201312,0.00012286905390201312,1.0317836686048324e-12,3.7985011066346552e-06,0.8457839239452878,0.0,0.0,0.0,1.0,0.00800150034950664,0.0,0.0,0.0,0.0,0.0,1.0,0.00800150034950664,0.0,0.0,0.0,0,0
0.0025,settle,-2.830119710632573e-15,3.189895960223344e-15,0.029996453508182665,0.0,0.0,0.09999676998701987,-2.830119710632573e-15,3.189895960223344e-15,-0.0700003164788372,0.0005040185785600607,0.0005040185785600608,2.8810407139519334e-10,3.5464918234119625e-06,0.8102131143597041,0.0,0.0,0.0,1.0,0.008000316478843274,0.0,0.0,0.0,0.0,0.0,1.0,0.008000316478843274,0.0,0.0,0.0,0,0
0.003,settle,8.070639188201278e-13,-9.092571534455655e-13,0.02999678493345432,0.0,0.0,0.09999575977707277,8.070639188201278e-13,-9.092571534455655e-13,-0.06999897484361844,0.0006628505433082118,0.000662850543312703,8.213185912384188e-08,3.2150682788001372e-06,0.7910150801997354,0.0,0.0,0.0,1.0,0.007998974845351565,0.0,0.0,0.0,0.0,0.0,1.0,0.007998974845351565,0.0,0.0,0.0,0,0
0.0035,settle,-2.3292197351506725e-10,2.6229251008481155e-10,0.029997135780851596,0.0,0.0,0.09999469474954815,-2.3292197351506725e-10,2.6229251008481155e-10,-0.06999755896869655,0.0007016947945565586,0.0007016951477140938,2.3696300454499562e-05,2.8647192081912576e-06,0.7811065915984685,0.0,0.0,0.0,1.0,0.00799755946875634,0.0,0.0,0.0,0.0,0.0,1.0,0.00799755946875634,0.0,0.0,0.0,0,0
0.004,settle,-3.3644558367886206e-10,3.788819460865821e-10,0.02999747508634762,0.0,0.0,0.09999359453333719,-3.3644558367886206e-10,3.788819460865821e-10,-0.06999611944698957,0.0006786109920469864,0.0006786110636940226,1.0507201087750476e-05,2.525636211454796e-06,0.7764093587514463,0.0,0.0,0.0,1.0,0.007996120169548634,0.0,0.0,0.0,0.0,0.0,1.0,0.007996120169548634,0.0,0.0,0.0,0,0
0.0045000000000000005,settle,-3.682416096909176e-10,4.1471058707238897e-10,0.02999778817108974,0.0,0.0,0.09999247540943211,-3.682416096909176e-10,4.1471058707238897e-10,-0.06999468723834237,0.0006261694842435278,0.0006261694915727855,3.2488103364304905e-06,2.2126202628529323e-06,0.7745835315484526,0.0,0.0,0.0,1.0,0.007994688029694958,0.0,0.0,0.0,0.0,0.0,1.0,0.007994688029694958,0.0,0.0,0.0,0,0
0.005000000000000001,settle,-3.6203300616999454e-10,4.0774978518927494e-10,0.029998069329367952,0.0,0.0,0.09999135079132948,-3.6203300616999454e-10,4.0774978518927494e-10,-0.06999328146196153,0.0005623165564213562,0.0005623165567307887,5.952022150499567e-07,1.9314493864899807e-06,0.7742938148039953,0.0,0.0,0.0,1.0,0.007993282240715965,0.0,0.0,0.0,0.0,0.0,1.0,0.007993282240715965,0.0,0.0,0.0,0,0
