time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_above_cube_bottom_m,left_normal_vertical_N,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_above_cube_bottom_m,right_normal_vertical_N,right_q_m,right_actuator_N,left_effective,right_effective
0.0005,settle,0.0,0.0,0.0299975475,0.0,0.0,0.09999971938853108,0.0,0.0,-0.07000217188853108,-0.0049050000000000005,0.0049050000000000005,0.0,2.4524999999997465e-06,1.2127502006097892,0.0,0.0,0.0,1.0,0.008002171888531077,0.0,0.0,0.0,0.0,0.0,1.0,0.008002171888531077,0.0,0.0,0.0,0,0
0.001,settle,0.0,0.0,0.029996432344376905,0.0,0.0,0.09999921296047269,0.0,0.0,-0.07000278061609579,-0.0022303112461888185,0.0022303112461888185,0.0,3.5676556230934686e-06,1.0207582796489165,0.0,0.0,0.0,1.0,0.00800278061609578,0.0,0.0,0.0,0.0,0.0,1.0,0.00800278061609578,0.0,0.0,0.0,0,0
0.0015,settle,0.0,0.0,0.029996054558377713,0.0,0.0,0.0999985272892306,0.0,0.0,-0.07000247273085289,-0.0007555719983830904,0.0007555719983830904,0.0,3.945441622285606e-06,0.9103637187272945,0.0,0.0,0.0,1.0,0.008002472730852882,0.0,0.0,0.0,0.0,0.0,1.0,0.008002472730852882,0.0,0.0,0.0,0,0
0.002,settle,0.0,0.0,0.029996069158999543,0.0,0.0,0.09999770184840001,0.0,0.0,-0.07000163268940046,2.9201243662499757e-05,2.9201243662499757e-05,0.0,3.930841000455987e-06,0.8474918907074971,0.0,0.0,0.0,1.0,0.008001632689400462,0.0,0.0,0.0,0.0,0.0,1.0,0.008001632689400462,0.0,0.0,0.0,0,0
0.0025,settle,0.0,0.0,0.029996279671779834,0.0,0.0,0.09999676998701987,0.0,0.0,-0.07000049031524003,0.00042102556058435617,0.00042102556058435617,0.0,3.720328220165048e-06,0.8122125120248183,0.0,0.0,0.0,1.0,0.008000490315240028,0.0,0.0,0.0,0.0,0.0,1.0,0.008000490315240028,0.0,0.0,0.0,0,0
0.003,settle,0.0,0.0,0.029996575848660202,0.0,0.0,0.09999575977707277,0.0,0.0,-0.06999918392841256,0.00059235376073947,0.00059235376073947,0.0,3.4241513397967327e-06,0.7928804970262139,0.0,0.0,0.0,1.0,0.007999183928412562,0.0,0.0,0.0,0.0,0.0,1.0,0.007999183928412562,0.0,0.0,0.0,0,0
0.0035,settle,0.0,0.0,0.02999689727709378,0.0,0.0,0.09999469474954815,0.0,0.0,-0.06999779747245438,0.0006428568671533064,0.0006428568671533064,0.0,3.10272290621888e-06,0.7827021675750593,0.0,0.0,0.0,1.0,0.007997797472454368,0.0,0.0,0.0,0.0,0.0,1.0,0.007997797472454368,0.0,0.0,0.0,0,0
0.004,settle,0.0,0.0,0.029997212149801028,0.0,0.0,0.09999359453333719,0.0,0.0,-0.06999638238353616,0.0006297454144974266,0.0006297454144974266,0.0,2.787850198970876e-06,0.7777230945269799,0.0,0.0,0.0,1.0,0.00799638238353615,0.0,0.0,0.0,0.0,0.0,1.0,0.00799638238353615,0.0,0.0,0.0,0,0
0.0045000000000000005,settle,0.0,0.0,0.029997504907178674,0.0,0.0,0.09999247540943211,0.0,0.0,-0.06999497050225344,0.0005855147552910504,0.0005855147552910504,0.0,2.4950928213252066e-06,0.7756492109689523,0.0,0.0,0.0,1.0,0.00799497050225343,0.0,0.0,0.0,0.0,0.0,1.0,0.00799497050225343,0.0,0.0,0.0,0,0
0.005000000000000001,settle,0.0,0.0,0.029997769068340598,0.0,0.0,0.09999135079132948,0.0,0.0,-0.06999358172298889,0.0005283223238470022,0.0005283223238470022,0.0,2.230931659401303e-06,0.7751563090306116,0.0,0.0,0.0,1.0,0.007993581722988877,0.0,0.0,0.0,0.0,0.0,1.0,0.007993581722988877,0.0,0.0,0.0,0,0
